Event Name,Event Start,Event End,Event Location,Event Description
Spring Book Fair FAMILY NIGHT,2025-04-03 04:00 PM,2025-04-03 07:00 PM,,"
"
Wheels In Motion,2025-04-10,2025-04-11,,"The White House Rotary sponsors this monthly event. One student will be awarded a bike and safety gear.
"
Tcap Window,2025-04-14,2025-04-26,,"
"
Good Friday - No School,2025-04-18,2025-04-19,,"
"
Easter,2025-04-20,2025-04-21,,"
"
Professional Admin Day,2025-04-23,2025-04-24,,"
"
PTO Basket Preview,2025-04-24 03:30 PM,2025-04-24 06:30 PM,,"
"
TCAP Celebration,2025-04-25,2025-04-26,,"
"
Qtr 4 Progress Reports,2025-04-25,2025-04-26,,"
"
PATRIOT FEST,2025-04-25 05:30 PM,2025-04-25 08:30 PM,,"https://facebook.com/events/s/patriot-fest-hes-pto-spring-ca/1580495465916920/
[X]
"
PTO Dance,2025-05-02 05:00 PM,2025-05-02 09:00 PM,,"
"
Teacher/Staff Appreciation Week,2025-05-05,2025-05-10,,"
"
Aimsweb ORF team,2025-05-05 10:00 AM,2025-05-05 11:30 AM,,"
"
HES 6th grade to visit WHHHS,2025-05-08,2025-05-09,,"
"
RFWE 2nd Grade to visit HES,2025-05-08,2025-05-09,,"
"
3rd & 4th Field Day,2025-05-12,2025-05-13,,"
"
5th & 6th Field Day,2025-05-13,2025-05-14,,"
"
Fine Arts Night,2025-05-15 06:00 PM,2025-05-15 07:00 PM,,"
"
4th Quarter Patriot Party,2025-05-16,2025-05-17,,"
"
Senior Walk,2025-05-16 07:00 AM,2025-05-16 07:30 AM,,"
"
Awards Day All Grades,2025-05-19,2025-05-20,,"
"
Last Full Day for Students,2025-05-22,2025-05-23,,"
"
1/2 Day Report Card Day,2025-05-23 07:00 AM,2025-05-23 10:30 AM,,"
"
Memorial Day,2025-05-26,2025-05-27,,"
"
In-Person Registration,2025-07-24 12:00 PM,2025-07-24 07:00 PM,,"
"
In-Person Registration,2025-07-25 08:00 AM,2025-07-25 03:00 PM,,"
"
Open House,2025-08-04 03:30 PM,2025-08-04 06:30 PM,,"
"
4th grade 4-H,2026-03-06,2026-03-07,,"
"
5th grade DARE grad,2026-03-06 11:15 AM,2026-03-06 12:15 PM,,"
"
